id_unidade_prod,id_equipamento_separacao,id_malha_ref,espec_abertura_malha,dt_manut_componente
PROC_SEC_01,11,2,1250,2022-10-12
PROC_SEC_01,11,3,700,2022-10-12
PROC_SEC_01,11,4,445,2022-10-12
PROC_SEC_01,11,5,240,2022-10-12
PROC_SEC_01,11,5,270,2022-06-22
PROC_SEC_01,11,4,450,2022-06-22
PROC_SEC_01,11,5,270,2022-06-22
PROC_SEC_01,11,4,450,2022-06-22
PROC_SEC_01,11,3,766,2022-06-22
PROC_SEC_01,11,2,1150,2022-06-22
PROC_SEC_01,11,1,2030,2022-06-22
PROC_SEC_01,12,5,343,2022-06-22
PROC_SEC_01,12,4,450,2022-06-22
PROC_SEC_01,12,3,766,2022-06-22
PROC_SEC_01,12,2,1150,2022-06-22
PROC_SEC_01,12,1,2030,2022-06-22
PROC_REF_01,16,1,3370,2022-10-28
PROC_REF_01,16,2,2380,2022-10-28
PROC_REF_01,17,1,3370,2022-10-28
PROC_REF_01,17,2,2380,2022-10-28
PROC_REF_01,16,5,209,2022-06-23
PROC_REF_01,16,4,497,2022-06-23
PROC_REF_01,16,3,1250,2022-06-23
PROC_REF_01,16,2,2330,2022-06-23
PROC_REF_01,16,1,4000,2022-06-23
PROC_REF_01,17,5,209,2022-06-23
PROC_REF_01,17,4,497,2022-06-23
PROC_REF_01,17,3,1250,2022-06-23
PROC_REF_01,17,2,2330,2022-06-23
PROC_REF_01,17,1,4000,2022-06-23
PROC_REF_01,16,1,3370,2022-10-28
PROC_REF_01,16,2,2380,2022-10-28
PROC_REF_01,17,1,3370,2022-10-28
PROC_REF_01,17,2,2380,2022-10-28
PROC_REF_01,17,5,183,2023-03-08
PROC_REF_01,17,4,446,2023-03-08
PROC_REF_01,17,3,1000,2023-03-08
PROC_REF_01,17,2,2380,2023-03-08
PROC_REF_01,17,1,3750,2023-03-08
PROC_REF_01,16,5,183,2023-03-16
PROC_REF_01,16,4,446,2023-03-16
PROC_REF_01,16,3,1000,2023-03-16
PROC_REF_01,16,2,2380,2023-03-16
PROC_REF_01,16,1,3350,2023-03-16
PROC_REF_01,17,5,183,2024-06-07
PROC_REF_01,16,3,1250,2024-06-28
PROC_REF_01,17,3,1250,2024-06-28
PROC_REF_01,17,3,1000,2024-09-11
PROC_REF_01,17,3,1250,2025-01-10
PROC_REF_01,16,5,172,2025-04-02
PROC_REF_01,16,2,2170,2025-04-02
PROC_REF_01,17,2,2170,2025-04-02
PROC_PRI_03,14,1,154,2022-06-23
PROC_PRI_03,14,2,1700,2022-06-23
PROC_PRI_03,14,3,2500,2022-06-23
PROC_PRI_03,14,4,4030,2022-06-23
